RIC,Date,BID,ASK,ACCRUAL,MID_YIELD,CONVEXITY,MOD_DURATION,BPV,ZSPREAD,OIS_SPREAD
DEBU2701=,2026-02-11,99.766,99.784,1.1507,2.5341,44.8381,6.0783,6.135,-6.3914,17.6441
DEBU2701=,2026-02-12,99.891,99.907,1.1712,2.5139,44.7542,6.0718,6.137,-6.4963,17.5295
DEBU2701=,2026-02-13,100.029,100.036,1.1781,2.4922,44.7421,6.0709,6.144,-6.3284,17.8933
DEBU2701=,2026-02-16,100.018,100.034,1.1849,2.4932,44.7059,6.0681,6.142,-6.1164,17.6763
DEBU2701=,2026-02-17,100.092,100.107,1.1918,2.4813,44.6835,6.0664,6.145,-6.601,17.2587
DEBU2701=,2026-02-18,100.067,100.089,1.1986,2.4847,44.6448,6.0635,6.141,-6.4852,17.4262
DEBU2701=,2026-02-19,100.052,100.074,1.2192,2.4872,44.5372,6.0552,6.133,-6.8269,17.1348
DEBU2701=,2026-02-20,100.074,100.095,1.226,2.4837,44.5059,6.0528,6.132,-6.99,17.0635
DEBU2701=,2026-02-23,100.231,100.25,1.2329,2.4582,44.4976,6.0522,6.141,-7.2676,16.7911
DEBU2701=,2026-02-24,100.256,100.273,1.2397,2.4543,44.4667,6.0498,6.141,-7.1084,16.772
DEBU2701=,2026-02-25,100.251,100.267,1.2466,2.4552,44.4309,6.0471,6.138,-6.5768,17.3328
DEBU2701=,2026-02-26,100.301,100.315,1.2671,2.4471,44.3345,6.0397,6.135,-6.5161,17.3752
DEBU2701=,2026-02-27,100.622,100.638,1.274,2.3947,44.3544,6.0411,6.156,-7.1685,16.4286
DEBU2701=,2026-03-02,100.222,100.238,1.2808,2.4598,44.2514,6.0333,6.125,-7.1128,16.8239
DEBU2701=,2026-03-03,99.77,99.787,1.2877,2.5338,44.1396,6.0249,6.089,-7.1924,16.141
DEBU2701=,2026-03-04,99.95,99.961,1.2945,2.5047,44.135,6.0245,6.1,-7.2543,15.9464
DEBU2701=,2026-03-05,99.23,99.234,1.3151,2.624,43.907,6.0071,6.04,-6.9429,16.0181
DEBU2701=,2026-03-06,99.063,99.089,1.3219,2.6499,43.8455,6.0024,6.026,-7.8282,14.1317
DEBU2D00=,2025-12-31,82.467,82.667,0.9795,3.4702,474.3958,18.9746,15.853,21.6032,41.5239
DEBU2D00=,2026-01-02,81.551,81.751,0.9863,3.5294,471.8632,18.9043,15.619,23.987,43.2313
DEBU2D00=,2026-01-05,81.897,82.097,0.9932,3.5058,472.7268,18.9285,15.711,24.2906,43.1067
DEBU2D00=,2026-01-06,82.303,82.503,1,3.4808,473.6536,18.9546,15.809,24.5155,42.6457
DEBU2D00=,2026-01-07,83.037,83.091,1.0068,3.4396,475.2429,18.999,15.972,24.9032,43.3078
DEBU2D00=,2026-01-08,82.58,82.64,1.0274,3.468,473.7649,18.9585,15.856,25.586,43.6838
DEBU2D00=,2026-01-09,82.66,82.72,1.0342,3.4625,473.891,18.9623,15.878,27.1116,44.4709
DEBU2D00=,2026-01-12,83.198,83.252,1.0411,3.4296,475.1386,18.9972,16.008,29.1644,45.8842
DEBU2D00=,2026-01-13,82.874,82.934,1.0479,3.4496,474.2117,18.9716,15.927,28.6592,45.0081
DEBU2D00=,2026-01-14,83.251,83.451,1.0548,3.4212,475.2758,19.0015,16.04,28.1904,44.5501
DEBU2D00=,2026-01-15,83.782,83.842,1.0753,3.3934,476.1062,19.0253,16.15,28.7868,44.8116
DEBU2D00=,2026-01-16,83.4,83.442,1.0822,3.4172,475.0273,18.9955,16.053,29.8265,45.4491
DEBU2D00=,2026-01-19,82.878,82.979,1.089,3.4485,473.6421,18.9571,15.927,31.6412,46.7247
DEBU2D00=,2026-01-20,82.479,82.608,1.0959,3.4728,472.5428,18.9267,15.83,31.4958,46.2663
DEBU2D00=,2026-01-21,82.118,82.219,1.1027,3.4966,471.464,18.8968,15.736,30.4336,45.7381
DEBU2D00=,2026-01-22,82.278,82.408,1.1233,3.4857,471.602,18.9013,15.776,28.9979,45.2614
DEBU2D00=,2026-01-23,82.075,82.205,1.1301,3.4986,470.9692,18.8838,15.725,29.4821,46.4776
DEBU2D00=,2026-01-26,82.521,82.62,1.137,3.4714,471.981,18.9123,15.831,28.854,45.962
DEBU2D00=,2026-01-27,82.37,82.468,1.1438,3.4811,471.4836,18.8986,15.792,28.8083,45.7267
DEBU2D00=,2026-01-28,82.452,82.518,1.1507,3.477,471.5494,18.9007,15.808,29.1579,45.9406
DEBU2D00=,2026-01-29,82.545,82.644,1.1712,3.4702,471.517,18.9005,15.832,30.1206,46.3884
DEBU2D00=,2026-01-30,82.274,82.405,1.1781,3.4864,470.7518,18.8793,15.768,31.2228,47.2754
DEBU2D00=,2026-02-02,82.022,82.142,1.1849,3.5028,469.9776,18.8579,15.702,31.7082,47.4282
DEBU2D00=,2026-02-03,81.514,81.644,1.1918,3.5351,468.5582,18.8183,15.576,32.2181,47.7105
DEBU2D00=,2026-02-04,81.784,81.883,1.1986,3.5188,469.1196,18.8343,15.639,32.4196,47.9679
DEBU2D00=,2026-02-05,82.197,82.262,1.2192,3.4938,469.8361,18.855,15.734,31.617,47.3468
DEBU2D00=,2026-02-06,82.015,82.113,1.226,3.5044,469.301,18.8402,15.692,31.7662,47.224
DEBU2D00=,2026-02-09,81.807,81.927,1.2329,3.517,468.6827,18.8231,15.642,32.8917,48.6731
DEBU2D00=,2026-02-10,82.474,82.604,1.2397,3.4743,470.3225,18.8693,15.808,32.6028,47.8297
DEBU2D00=,2026-02-11,82.788,82.918,1.2466,3.4546,471.0266,18.8892,15.886,31.8579,46.9715
DEBU2D00=,2026-02-12,83.101,83.2,1.2671,3.4361,471.474,18.9024,15.957,31.7711,47.0039
DEBU2D00=,2026-02-13,83.277,83.447,1.274,3.4229,471.909,18.9147,16.009,33.3869,47.8844
DEBU2D00=,2026-02-16,83.312,83.413,1.2808,3.4229,471.8051,18.9121,16.008,34.167,48.3604
DEBU2D00=,2026-02-17,83.71,83.81,1.2877,3.3983,472.7101,18.9376,16.106,34.2022,47.7292
DEBU2D00=,2026-02-18,83.721,83.82,1.2945,3.3977,472.6314,18.9356,16.108,33.052,47.3702
DEBU2D00=,2026-02-19,83.652,83.782,1.3151,3.4012,472.1801,18.9237,16.091,32.9689,47.0313
DEBU2D00=,2026-02-20,83.797,83.927,1.3219,3.3922,472.4419,18.9312,16.126,32.6012,46.8298
DEBU2D00=,2026-02-23,84.021,84.119,1.3288,3.3794,472.8618,18.9432,16.177,32.2683,45.9527
DEBU2D00=,2026-02-24,84.192,84.29,1.3356,3.3689,473.1869,18.9525,16.219,32.5981,46.4876
DEBU2D00=,2026-02-25,84.173,84.272,1.3425,3.3701,473.035,18.9485,16.213,32.9711,45.8005
DEBU2D00=,2026-02-26,84.496,84.595,1.363,3.3504,473.529,18.963,16.291,32.7637,46.6265
DEBU2D00=,2026-02-27,85.104,85.202,1.3699,3.3133,474.9362,19.0026,16.442,33.1645,46.4544
DEBU2D00=,2026-03-02,84.53,84.629,1.3767,3.3484,473.4033,18.96,16.297,34.4809,47.7417
DEBU2D00=,2026-03-03,83.835,83.933,1.3836,3.3914,471.5507,18.9083,16.123,37.7066,49.7266
DEBU2D00=,2026-03-04,83.835,83.965,1.3904,3.3904,471.4859,18.9068,16.126,36.8536,47.8873
DEBU2D00=,2026-03-05,83.186,83.316,1.411,3.4311,469.5248,18.8525,15.961,38.8543,49.7005
DEBU2D00=,2026-03-06,83.272,83.432,1.4178,3.4248,469.677,18.857,15.985,41.0828,49.9704
DEBU2D01=,2025-12-31,89.118,89.318,2.3756,3.4758,490.6809,18.8893,17.301,23.0459,42.2335
DEBU2D01=,2026-01-02,88.168,88.268,2.3836,3.5345,487.6625,18.808,17.039,25.6477,43.7436
DEBU2D01=,2026-01-05,88.55,88.65,2.3915,3.5106,488.7461,18.8374,17.144,25.79,43.9553
DEBU2D01=,2026-01-06,89.022,89.122,2.3995,3.483,490.0142,18.8717,17.267,25.5073,43.1564
DEBU2D01=,2026-01-07,89.764,89.864,2.4074,3.4423,491.938,18.9236,17.45,26.3274,43.6957
DEBU2D01=,2026-01-08,89.259,89.359,2.4312,3.4714,490.1814,18.8766,17.316,27.1533,44.3343
DEBU2D01=,2026-01-09,89.326,89.426,2.4392,3.4669,490.3049,18.8801,17.335,28.626,45.3197
DEBU2D01=,2026-01-12,89.873,89.973,2.4471,3.4354,491.764,18.9195,17.477,31.1416,47.0441
DEBU2D01=,2026-01-13,89.534,89.634,2.4551,3.4552,490.6795,18.8904,17.386,30.4009,46.0296
DEBU2D01=,2026-01-14,90.011,90.111,2.463,3.4273,491.9624,18.9251,17.512,30.2247,45.665
DEBU2D01=,2026-01-15,90.519,90.619,2.4868,3.399,493.059,18.955,17.639,30.8513,46.1718
DEBU2D01=,2026-01-16,90.06,90.16,2.4948,3.424,491.7131,18.9189,17.523,32.0161,46.9437
DEBU2D01=,2026-01-19,89.541,89.624,2.5027,3.4554,490.0549,18.8743,17.38,33.8655,48.1164
DEBU2D01=,2026-01-20,89.132,89.215,2.5107,3.479,488.7803,18.84,17.273,33.4661,47.4381
DEBU2D01=,2026-01-21,88.7,88.807,2.5186,3.5034,487.4677,18.8047,17.163,32.5049,46.8375
DEBU2D01=,2026-01-22,88.897,88.967,2.5425,3.4932,487.67,18.8105,17.207,30.9603,46.5362
DEBU2D01=,2026-01-23,88.672,88.762,2.5504,3.5057,486.9464,18.791,17.15,31.4845,47.7103
DEBU2D01=,2026-01-26,89.133,89.227,2.5584,3.4789,488.1741,18.8243,17.269,31.0164,47.197
DEBU2D01=,2026-01-27,88.978,89.044,2.5663,3.4887,487.585,18.8085,17.224,30.8534,46.9363
DEBU2D01=,2026-01-28,89.031,89.101,2.5742,3.4855,487.6389,18.8101,17.238,31.4701,47.2575
DEBU2D01=,2026-01-29,89.143,89.22,2.5981,3.479,487.6581,18.8109,17.265,32.3788,47.659
DEBU2D01=,2026-01-30,88.869,88.949,2.606,3.4948,486.7718,18.7871,17.193,33.391,48.557
DEBU2D01=,2026-02-02,88.588,88.685,2.614,3.5107,485.8828,18.7631,17.121,33.9413,48.5447
DEBU2D01=,2026-02-03,88.027,88.107,2.6219,3.5442,484.129,18.7157,16.973,34.6278,49.2412
DEBU2D01=,2026-02-04,88.31,88.375,2.6299,3.528,484.8251,18.7347,17.043,34.7708,49.3729
DEBU2D01=,2026-02-05,88.745,88.821,2.6537,3.5024,485.7859,18.7611,17.155,34.0419,48.7769
DEBU2D01=,2026-02-06,88.55,88.623,2.6616,3.5139,485.1157,18.743,17.103,34.1731,48.6676
DEBU2D01=,2026-02-09,88.331,88.411,2.6696,3.5266,484.3891,18.7234,17.046,35.2638,49.9976
DEBU2D01=,2026-02-10,89.067,89.144,2.6775,3.4837,486.4006,18.7781,17.235,34.8971,49.195
DEBU2D01=,2026-02-11,89.404,89.5,2.6855,3.4637,487.2872,18.8022,17.324,34.1379,48.2343
DEBU2D01=,2026-02-12,89.72,89.817,2.7093,3.4456,487.8755,18.8185,17.403,34.1224,48.2503
DEBU2D01=,2026-02-13,90.014,90.101,2.7173,3.4291,488.5901,18.8379,17.477,35.1754,48.8631
DEBU2D01=,2026-02-16,89.99,90.052,2.7252,3.4312,488.3828,18.8325,17.466,36.3393,49.5999
DEBU2D01=,2026-02-17,90.418,90.495,2.7332,3.4064,489.5066,18.863,17.578,36.4189,48.9502
DEBU2D01=,2026-02-18,90.429,90.509,2.7411,3.4057,489.4375,18.8612,17.581,35.2327,48.5541
DEBU2D01=,2026-02-19,90.38,90.46,2.7649,3.4086,488.9872,18.8494,17.565,35.0183,48.1657
DEBU2D01=,2026-02-20,90.545,90.618,2.7729,3.3995,489.3365,18.859,17.606,34.5726,47.9218
DEBU2D01=,2026-02-23,90.75,90.846,2.7808,3.3872,489.8387,18.8727,17.661,34.4042,47.1016
DEBU2D01=,2026-02-24,90.959,91.035,2.7888,3.376,490.2902,18.8851,17.712,34.6986,47.4382
DEBU2D01=,2026-02-25,90.931,91.031,2.7967,3.3769,490.1412,18.8812,17.706,35.0224,46.8047
DEBU2D01=,2026-02-26,91.287,91.383,2.8205,3.3571,490.8131,18.8997,17.795,34.8513,47.5848
DEBU2D01=,2026-02-27,91.949,92.016,2.8285,3.3209,492.4977,18.9454,17.962,35.2862,47.5321
DEBU2D01=,2026-03-02,91.335,91.415,2.8364,3.3549,490.7154,18.8973,17.804,36.7338,48.9978
DEBU2D01=,2026-03-03,90.561,90.679,2.8444,3.3976,488.5071,18.8377,17.607,40.369,51.3145
DEBU2D01=,2026-03-04,90.612,90.709,2.8523,3.3953,488.5164,18.838,17.616,38.8367,49.155
DEBU2D01=,2026-03-05,89.87,89.99,2.8762,3.4371,486.15,18.7742,17.424,41.3458,51.4378
DEBU2D01=,2026-03-06,89.97,90.113,2.8841,3.4308,486.361,18.7801,17.452,43.8183,52.0067
DEBU2F00=,2025-12-31,92.27,92.42,1.674,3.2398,179.6522,12.1175,11.393,7.6625,31.3489
DEBU2F00=,2026-01-02,91.69,91.78,1.6811,3.2912,179.203,12.098,11.305,9.3689,31.9487
DEBU2F00=,2026-01-05,91.988,92.078,1.6882,3.2649,179.3322,12.104,11.348,9.3063,31.9618
DEBU2F00=,2026-01-06,92.382,92.47,1.6953,3.2336,179.4977,12.1116,11.399,8.8275,30.8996
DEBU2F00=,2026-01-07,92.761,92.815,1.7025,3.2009,179.6739,12.1197,11.453,10.1203,32.304
DEBU2F00=,2026-01-08,92.438,92.526,1.7238,3.2269,179.2804,12.1032,11.404,10.6752,32.3277
DEBU2F00=,2026-01-09,92.514,92.604,1.731,3.2229,179.2428,12.1018,11.409,11.308,32.3375
DEBU2F00=,2026-01-12,92.805,93.005,1.7381,3.192,179.4058,12.1093,11.46,12.3532,33.1387
DEBU2F00=,2026-01-13,92.684,92.772,1.7452,3.2082,179.2186,12.1014,11.431,12.3753,32.8694
DEBU2F00=,2026-01-14,93.01,93.11,1.7523,3.1783,179.3737,12.1085,11.48,11.2951,31.9989
DEBU2F00=,2026-01-15,93.121,93.221,1.7737,3.1693,179.2399,12.1035,11.491,12.0802,32.573
DEBU2F00=,2026-01-16,92.86,92.96,1.7808,3.1915,179.0083,12.0936,11.452,12.5104,33.0751
DEBU2F00=,2026-01-19,92.735,92.804,1.7879,3.2041,178.8483,12.0868,11.429,12.506,33.0642
DEBU2F00=,2026-01-20,92.511,92.591,1.7951,3.2234,178.6391,12.0778,11.395,12.5439,32.8354
DEBU2F00=,2026-01-21,92.281,92.358,1.8022,3.2438,178.4211,12.0685,11.359,12.0039,32.666
DEBU2F00=,2026-01-22,92.341,92.397,1.8236,3.2397,178.2513,12.0618,11.361,11.0365,32.4883
DEBU2F00=,2026-01-23,92.126,92.208,1.8307,3.2576,178.0524,12.0533,11.33,11.7639,33.4031
DEBU2F00=,2026-01-26,92.478,92.548,1.8378,3.2273,178.2103,12.0606,11.379,11.1693,32.7356
DEBU2F00=,2026-01-27,92.41,92.48,1.8449,3.2333,178.0989,12.056,11.368,11.3711,32.7746
DEBU2F00=,2026-01-28,92.567,92.612,1.8521,3.2207,178.1254,12.0575,11.387,11.4208,32.7961
